Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 45.00
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 45.00
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 35.00
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 37.50
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 35.00
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 31.67
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.71
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.00
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 31.67
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.00
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 31.36
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.50
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.46
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.86
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.67
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.50
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.06
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.78
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.89
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.50
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.10
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.27
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.83
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.33
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.00
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.08
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 33.15
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.86
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.59
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.00
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 32.10
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 31.56
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 31.36
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.88
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.43
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.83
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.68
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.53
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.90
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.50
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.37
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.24
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.35
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.45
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.11
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.00
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.89
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.79
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.90
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 30.00
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.90
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.81
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.72
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.44
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.18
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.11
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.39
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.31
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.24
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.17
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.26
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.19
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.13
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.06
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.31
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.55
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.48
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.26
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.06
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.00
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.23
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.17
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.38
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.32
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.53
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.47
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.29
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.23
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.18
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.12
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.07
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.27
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.22
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.17
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.35
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.30
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.37
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.43
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.38
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.33
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.18
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.02
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.98
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.04
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.21
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.06
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 29.02
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.98
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.84
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.80
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.66
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.73
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.69
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.65
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.52
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.49
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.46
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.43
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.39
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.45
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.42
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.30
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.27
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.42
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.30
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.45
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.42
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.56
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.45
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.42
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.31
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.44
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.33
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.39
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.52
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.65
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.54
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.52
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.49
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.62
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.59
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.71
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.61
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.58
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 28.48
